pca_1,pca_2,tsne_1,tsne_2,label
-1411.0596374701818,460.19851108999956,4.072933,12.917649,Data Asli
-2386.7848879489575,612.2103239028193,-13.560828,12.061543,Data Asli
-2194.55325121398,255.46678329935185,-21.21617,28.24541,Data Asli
16060.281539306106,1673.9234474293862,71.63444,2.1335554,Data Asli
-2000.5204193668033,214.31590188574683,8.939263,29.965471,Data Asli
-2037.4826780373878,278.4807225406066,-10.465172,-27.496307,Data Asli
-2065.8297952942703,392.6935562198314,-9.270793,-25.70417,Data Asli
-1979.479990219741,341.8784204086169,5.6048756,36.216125,Data Asli
-2085.707481262434,334.84983518619174,9.567774,39.244156,Data Asli
-442.5927235544841,-222.68498982635356,11.793266,10.638652,Data Asli
13239.422160157148,619.0223102037326,47.94646,-0.6219644,Data Asli
-3013.2548056738397,357.21978130560547,-17.382694,-4.1228724,Data Asli
-2062.9982953662293,328.78270754827645,8.32643,37.414776,Data Asli
17714.496833156893,1315.7275278327133,66.54704,-1.8016708,Data Asli
-2038.0508933706224,263.06727685377155,-13.746299,31.902386,Data Asli
-2057.3537477403625,311.4628401935861,12.809686,-11.288623,Data Asli
-2724.5211281880984,581.9554473452854,-15.990103,-4.2175555,Data Asli
-2039.0124997068488,253.42602989307488,11.416912,30.318312,Data Asli
