[START] 2026-01-17T08:16:21Z bridge=br0 duration=600 interval=1
[INFO] Delay log path: /home/ovs/sdn-iot/pengujian/delay_log.csv
[INFO] Output dataset : /home/ovs/sdn-iot/pengujian/allport/dataset_dqn.csv
[PROGRESS] ts=2026-01-17T08:19:49Z rows=186 delay(dht11)=5.096 delay(camera)=5.745 delay(max)=5.105
[PROGRESS] ts=2026-01-17T08:19:50Z rows=187 delay(dht11)=5.089 delay(camera)=5.332 delay(max)=5.105
[PROGRESS] ts=2026-01-17T08:19:51Z rows=188 delay(dht11)=5.152 delay(camera)=5.332 delay(max)=5.105
[PROGRESS] ts=2026-01-17T08:19:53Z rows=189 delay(dht11)=5.118 delay(camera)=5.332 delay(max)=5.172
[PROGRESS] ts=2026-01-17T08:19:54Z rows=190 delay(dht11)=5.080 delay(camera)=5.332 delay(max)=5.172
[PROGRESS] ts=2026-01-17T08:19:55Z rows=191 delay(dht11)=5.123 delay(camera)=5.599 delay(max)=5.172
[PROGRESS] ts=2026-01-17T08:19:56Z rows=192 delay(dht11)=5.104 delay(camera)=5.493 delay(max)=5.131
[PROGRESS] ts=2026-01-17T08:19:57Z rows=193 delay(dht11)=5.088 delay(camera)=5.493 delay(max)=5.131
[PROGRESS] ts=2026-01-17T08:19:58Z rows=194 delay(dht11)=5.219 delay(camera)=5.994 delay(max)=5.100
[PROGRESS] ts=2026-01-17T08:19:59Z rows=195 delay(dht11)=5.111 delay(camera)=5.994 delay(max)=5.100
[PROGRESS] ts=2026-01-17T08:20:01Z rows=196 delay(dht11)=5.135 delay(camera)=5.994 delay(max)=5.100
[PROGRESS] ts=2026-01-17T08:20:02Z rows=197 delay(dht11)=5.067 delay(camera)=5.994 delay(max)=5.095
[PROGRESS] ts=2026-01-17T08:20:03Z rows=198 delay(dht11)=5.084 delay(camera)=5.666 delay(max)=5.095
[PROGRESS] ts=2026-01-17T08:20:04Z rows=199 delay(dht11)=5.126 delay(camera)=5.483 delay(max)=5.095
[PROGRESS] ts=2026-01-17T08:20:05Z rows=200 delay(dht11)=5.069 delay(camera)=5.483 delay(max)=5.106
[PROGRESS] ts=2026-01-17T08:20:06Z rows=201 delay(dht11)=5.097 delay(camera)=5.483 delay(max)=5.106
[PROGRESS] ts=2026-01-17T08:20:07Z rows=202 delay(dht11)=5.130 delay(camera)=5.483 delay(max)=5.091
[PROGRESS] ts=2026-01-17T08:20:08Z rows=203 delay(dht11)=5.075 delay(camera)=5.352 delay(max)=5.091
[PROGRESS] ts=2026-01-17T08:20:10Z rows=204 delay(dht11)=5.079 delay(camera)=5.352 delay(max)=5.091
[PROGRESS] ts=2026-01-17T08:20:11Z rows=205 delay(dht11)=5.198 delay(camera)=5.352 delay(max)=5.165
[PROGRESS] ts=2026-01-17T08:20:12Z rows=206 delay(dht11)=5.074 delay(camera)=5.579 delay(max)=5.165
[PROGRESS] ts=2026-01-17T08:20:13Z rows=207 delay(dht11)=5.124 delay(camera)=5.579 delay(max)=5.165
[PROGRESS] ts=2026-01-17T08:20:14Z rows=208 delay(dht11)=5.144 delay(camera)=5.579 delay(max)=5.064
[PROGRESS] ts=2026-01-17T08:20:15Z rows=209 delay(dht11)=5.114 delay(camera)=5.395 delay(max)=5.064
[PROGRESS] ts=2026-01-17T08:20:16Z rows=210 delay(dht11)=5.102 delay(camera)=5.395 delay(max)=5.055
[PROGRESS] ts=2026-01-17T08:20:17Z rows=211 delay(dht11)=5.165 delay(camera)=5.471 delay(max)=5.055
